product_id,product_name,product_brand,gender,price(INR),color,season,rating,category,stock_status,sub_category
10017413,DKNY Unisex Black & Grey Printed Medium Trolley Bag,DKNY,Unisex,11745, Black,all season,8.2,Accessories,In Stock,Bag
10016283,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,EthnoVogue,Women,5810, Beige,winter,5.2,Outerwear,Low Stock,Kurta
10009781,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,Women,899, Pink,spring,9.9,Clothing,In Stock,Jeans
10015921,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Raymond,Men,5599,Blue,fall,9,Clothing,In Stock,Other
10017833,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,Parx,Men,759, White,spring,5.1,Clothing,Low Stock,Shirt
10014361,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,SHOWOFF,Men,791, Brown,summer,5.7,Clothing,Low Stock,Shorts
10017869,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,719,Blue,spring,6.9,Clothing,Low Stock,Shirt
10009695,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,Women,899, Burgundy,spring,9.6,Clothing,In Stock,Jeans
10000571,Parx Men Brown Tapered Fit Solid Regular Trousers,Parx,Men,664, Red,spring,6.6,Clothing,Low Stock,Trousers
10017421,DKNY Unisex Black Large Trolley Bag,DKNY,Unisex,17360, Black,all season,4.2,Accessories,Out of Stock,Bag
10000911,Kenneth Cole Women Navy Blue Solid Backpack,Kenneth Cole,Women,2463,Blue,fall,6.1,Clothing,Low Stock,Backpack
10000245,Parx Men Green Printed Polo Collar T-shirt,Parx,Men,629, Green,summer,5.4,Clothing,Low Stock,Shirt
10001989,Police Men To Be The King Eau De Toilette 125 ml,Police,Men,2695,Brown,fall,5,Clothing,Low Stock,Other
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,Vishudh,Women,892, Maroon,fall,6.7,Clothing,Low Stock,Kurta
10017749,Parx Men Red Slim Fit Checked Casual Shirt,Parx,Men,752, Red,spring,5.5,Clothing,Low Stock,Shirt
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,Being Human,Men,1079, Navy,spring,8.2,Clothing,In Stock,Shirt
10003803,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,Unisex,1620, White,fall,9.8,Clothing,In Stock,Other
10012765,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,SEJ by Nisha Gupta,Unisex,899,Blue,fall,7,Clothing,Low Stock,Other
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,YAK YAK,Men,599, Brown,summer,6.9,Clothing,Low Stock,Shirt
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,PARFAIT,Women,1749, Red,summer,8.4,Clothing,In Stock,Shirt
10001265,Michael Kors Women Sexy Amber Eau de Parfum 100ml,Michael Kors,Women,7920,Black,fall,6.3,Clothing,Low Stock,Other
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,Men,699, Black,spring,4.2,Clothing,Out of Stock,Shirt
10012795,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,Unisex,899, Red,fall,6.2,Clothing,Low Stock,Other
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,Women,1199,Blue,spring,6.8,Clothing,Low Stock,Jeans
10012853,JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,Men,539, Gold,fall,9,Clothing,In Stock,Other
10006001,ID Men Tan Brown Fisherman Leather Sandals,ID,Men,2385, Brown,fall,4.9,Footwear,Out of Stock,Other
10017377,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,Unisex,1199, Red,fall,7.3,Clothing,Low Stock,Other
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,Raymond,Men,1079,Blue,spring,7.5,Clothing,Low Stock,Shirt
10003123,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Gini and Jony,Boys,699,Blue,spring,9.2,Clothing,In Stock,Shirt
10012767,SEJ by Nisha Gupta Set of 6 Printed Table Placemats,SEJ by Nisha Gupta,Unisex,899,Black,fall,4.9,Clothing,Out of Stock,Other
10013041,Sera Women Blue Printed Kurta with Palazzos,Sera,Women,1437,Blue,fall,4.7,Clothing,Out of Stock,Kurta
10014831,AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,AccessHer,Women,979, Pink,fall,8,Clothing,In Stock,Other
10017831,Parx Men Blue Slim Fit Printed Casual Shirt,Parx,Men,779,Blue,spring,6.8,Clothing,Low Stock,Shirt
10002713,Alcis Women Yellow & Blue Colorblocked Tights,Alcis,Women,749,Blue,fall,5.8,Clothing,Low Stock,Other
10006029,ID Men Brown Leather Formal Slip-Ons,ID,Men,956, Brown,fall,9.6,Clothing,In Stock,Other
10005903,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,Difference of Opinion,Men,499,Blue,summer,4.2,Clothing,Out of Stock,Shirt
10017781,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,769,Blue,spring,6.5,Clothing,Low Stock,Shirt
10002151,Michael Kors Extreme Blue For Men Edt 70 ml,Michael Kors,Men,4275,Blue,fall,4.4,Clothing,Out of Stock,Other
10015989,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,Tokyo Talkies,Women,499, White,fall,5.4,Clothing,Low Stock,Other
10001111,ANNA SUI Women La Vie De Boheme EDT 75ml,ANNA SUI,Women,4600,Maroon,fall,6.9,Clothing,Low Stock,Other
10004151,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,HIGHLANDER,Men,699,Blue,spring,9.6,Clothing,In Stock,Shirt
10007705,her by invictus Women Brown Solid Cushioned Mules,her by invictus,Women,1044, Brown,fall,8.2,Clothing,In Stock,Other
10006041,ID Men Beige Leather Derbys,ID,Men,2685, Beige,fall,6.3,Clothing,Low Stock,Other
10009621,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,SPYKAR,Women,1124,Blue,spring,7,Clothing,Low Stock,Jeans
10009681,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,SPYKAR,Women,989,Blue,spring,5.7,Clothing,Low Stock,Jeans
10017569,Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Soie,Women,750, Red,fall,6.6,Clothing,Low Stock,Other
10001251,Lara Karen Women Black Solid Maxi Satin Skirt,Lara Karen,Women,1999, Black,fall,6.1,Clothing,Low Stock,Other
10003199,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,Gini and Jony,Girls,1619, Yellow,fall,5.6,Clothing,Low Stock,Other
10017405,Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,Unisex,1199,Blue,fall,8.8,Clothing,In Stock,Other
10013687,PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,PARFAIT,Women,1189,Blue,fall,9.3,Clothing,In Stock,Other
10015163,Urban Dog Men Grey Solid Regular Fit Sports Shorts,Urban Dog,Men,399, Grey,summer,8.8,Clothing,In Stock,Shorts
1000710,ahilya Sterling Silver Textured Bangle,ahilya,Women,9756, Red,fall,9.9,Clothing,In Stock,Other
10013541,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,PARFAIT,Women,1609,Blue,summer,7.4,Clothing,Low Stock,Shirt
10002833,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,VASTRAMAY,Boys,1469,Blue,winter,4.4,Outerwear,Out of Stock,Kurta
10005915,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,Difference of Opinion,Men,499, Grey,summer,4.8,Clothing,Out of Stock,Shirt
10002707,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,Campus Sutra,Men,479,Blue,spring,8.9,Clothing,In Stock,Shirt
10012433,FIDO DIDO Men White Printed Round Neck T-shirt,FIDO DIDO,Men,449, White,summer,6.1,Clothing,Low Stock,Shirt
10012699,MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls,MIAH Decor,Unisex,1469, Black,fall,9.3,Clothing,In Stock,Other
10012851,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,JEWEL JUNCTION,Men,539, Gold,fall,8.1,Clothing,In Stock,Other
10016755,Vishudh Women Off-White & Green Floral Print A-Line Dress,Vishudh,Women,1299, Green,fall,8.1,Clothing,In Stock,Other
10015159,Urban Dog Men Grey Printed Regular Fit Sports Shorts,Urban Dog,Men,399, Grey,summer,4.8,Clothing,Out of Stock,Shorts
